"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"235",67.8,1,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","Don't know","Good","Good","English","English only","Management occupations","1"
"236",66.8,2,10,"Male","Born in Canada","Divorced","Not a visible minority","By birth","Trade certificate or diploma","50.1 hours and more","Very good","Very good","English","English only","Management occupations","1"
"237",61.9,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Excellent","Excellent","English","English only","Business, finance, and administration occupations","1"
"239",40.4,3,7,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Don't know","Good","English","English only","Natural and applied sciences and related occupations","4"
"240",26,0,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Very good","English","English only","Business, finance, and administration occupations","2"
"241",57.3,0,8,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Good","English","English only","Natural resources, agriculture and related production oc...","5"
"242",35.9,1,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Trades, transport and equipment operators and related oc...","4"
"244",38.8,0,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","English","Both English and French","Occupations in education, law and social, community and ...","2"
"247",65.5,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","French","Both English and French","Business, finance, and administration occupations","2"
"248",19.5,0,5,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Poor","English","English only","Sales and service occupations","1"
"250",27.8,0,9,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Excellent","English","Both English and French","Business, finance, and administration occupations","3"
"251",45.2,2,10,"Male","Born outside Canada","Married","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Very good","English","English only","Management occupations","1"
"254",56.7,2,9,"Female","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Sales and service occupations","2"
"255",58.3,2,5,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Poor","Fair","English","English only","Sales and service occupations","1"
"256",60.8,3,8,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Excellent","English","English only","Management occupations","2"
"259",32.9,1,10,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","5"
"260",39.3,2,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","French","French only","Sales and service occupations","3"
"261",56.5,0,8,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English and non-official language","English only","Business, finance, and administration occupations","2"
"263",47.6,2,10,"Female","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","2"
"264",22.4,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Very good","English","Both English and French","Sales and service occupations","1"
"265",65.3,2,2,"Male","Born in Canada","Separated","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","40.1 to 50.0 hours","Good","Excellent","English","English only","Management occupations","4"
"267",49.6,2,9,"Female","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Management occupations","2"
"268",22.7,0,5,"Male","Born in Canada","Single, never married","Visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Good","English and non-official language","English only","Sales and service occupations","2"
"269",65.5,0,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","English","Both English and French","Management occupations","5"
"270",34.9,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Good","French","Both English and French","Business, finance, and administration occupations","2"
"271",50.1,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","50.1 hours and more","Very good","Fair","English","English only","Trades, transport and equipment operators and related oc...","2"
"275",59.7,2,9,"Male","Born in Canada","Separated","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","3"
"276",41.9,1,8,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","40.1 to 50.0 hours","Very good","Very good","English","English only","Health occupations","4"
"281",35.8,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Occupations in art, culture, recreation and sport","4"
"289",27.4,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Good","French","French only","Sales and service occupations","1"
"290",16.1,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Excellent","Excellent","English","English only","Sales and service occupations","1"
"294",55,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","5"
